全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考
272035,0000000077,大阪府豊中市,麻田藩陣屋門,アサダハンジンヤモン,,,豊中市指定有形文化財,建造物,,272035,,大阪府豊中市刀根山元町5-27,大阪府,豊中市,刀根山元町5,27,,34.798957,135.457945,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000078,大阪府豊中市,西福寺石造宝篋印塔基礎,サイフクジセキゾウホウキョウイントウキソ,,,豊中市指定有形文化財,建造物,,272035,,大阪府豊中市小曽根1-6-38,大阪府,豊中市,小曽根1,6-38,,34.762547,135.485122,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000079,大阪府豊中市,住吉神社石造宝篋印塔基礎,スミヨシジンジャセキゾウホウキョウイントウキソ,,,豊中市指定有形文化財,建造物,,272035,,大阪府豊中市長興寺北2-3-43,大阪府,豊中市,長興寺北2,3-43,,34.778361,135.477665,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000080,大阪府豊中市,松林寺今西家石造五輪塔群,ショウリンジイマニシケセキゾウゴリントウグン,,,豊中市指定有形文化財,建造物,,272035,,大阪府豊中市浜2-1-10,大阪府,豊中市,浜2,1-10,,34.760429,135.479504,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000081,大阪府豊中市,上新田天神社本殿,カミシンデンテンジンシャホンデン,,,豊中市指定有形文化財,建造物,,272035,,大阪府豊中市上新田1-17-1,大阪府,豊中市,上新田1,17-1,,34.803917,135.49701,,,,,,,,,,,,,34243,,,,,,,,,,,,
272035,0000000082,大阪府豊中市,旧川崎東照宮本地堂,キュウカワサキトウショウグウホンチドウ,,,豊中市指定有形文化財,建造物,,272035,,大阪府豊中市南桜塚1-12-7,大阪府,豊中市,南桜塚1,12-7,,34.774732,135.467627,,,,,,,,,,,,,35156,,,,,,,,,,,,
272035,0000000083,大阪府豊中市,原田神社石鳥居,ハラダジンジャイシドリイ,,,豊中市指定有形文化財,建造物,,272035,,大阪府豊中市中桜塚1-2-18,大阪府,豊中市,中桜塚1,2-18,,34.779331,135.466636,,,,,,,,,,,,,36617,,,,,,,,,,,,
272035,0000000084,大阪府豊中市,伊藤若冲筆　山水図,イトウジャクチュウヒツ　サンスイズ,,,豊中市指定有形文化財,美術工芸品,,272035,,大阪府豊中市小曽根1-6-38,大阪府,豊中市,小曽根1,6-38,,34.762712,135.485113,,,,,,,,,,,,,42948,,,,,,,,,,,,
272035,0000000085,大阪府豊中市,伊藤若冲筆　野晒図,イトウジャクチュウヒツ　ノザラシズ,,,豊中市指定有形文化財,美術工芸品,,272035,,大阪府豊中市小曽根1-6-38,大阪府,豊中市,小曽根1,6-38,,34.762712,135.485113,,,,,,,,,,,,,42948,,,,,,,,,,,,
272035,0000000086,大阪府豊中市,月岡雪鼎筆　鯉図,ツキオカセッテイヒツ　コイズ,,,豊中市指定有形文化財,美術工芸品,,272035,,大阪府豊中市曽根東町3-7-2,大阪府,豊中市,曽根東町3,7-2,,,,,,,,,,,,,,,,42948,,,,,,,,,,,,
272035,0000000087,大阪府豊中市,中井藍江筆　白雉図,ナカイランコウヒツ　シロキジズ,,,豊中市指定有形文化財,美術工芸品,,272035,,大阪府豊中市曽根東町3-7-2,大阪府,豊中市,曽根東町3,7-2,,,,,,,,,,,,,,,,42948,,,,,,,,,,,,
272035,0000000088,大阪府豊中市,金銅菩薩立像,コンドウボサツリュウゾウ,,,豊中市指定有形文化財,美術工芸品,,272035,,大阪府豊中市熊野町3-10-1,大阪府,豊中市,熊野町3,10-1,,34.791245,135.484244,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000089,大阪府豊中市,木造彩色聖観音菩薩立像,モクゾウサイシキショウカンノンボサツリュウゾウ,,,豊中市指定有形文化財,美術工芸品,,272035,,大阪府豊中市熊野町3-10-1,大阪府,豊中市,熊野町3,10-1,,34.791245,135.484244,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000090,大阪府豊中市,木造彩色四天王像,モクゾウサイシキシテンノウゾウ,,,豊中市指定有形文化財,美術工芸品,,272035,,大阪府豊中市中桜塚2-2-24,大阪府,豊中市,中桜塚2,2-24,,34.780217,135.467201,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000091,大阪府豊中市,木造漆箔薬師如来坐像,モクゾウシッパクヤクシニョライザゾウ,,,豊中市指定有形文化財,美術工芸品,,272035,,大阪府豊中市中桜塚2-2-24,大阪府,豊中市,中桜塚2,2-24,,34.780217,135.467201,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000092,大阪府豊中市,木造漆箔薬師如来坐像,モクゾウシッパクヤクシニョライザゾウ,,,豊中市指定有形文化財,美術工芸品,,272035,,大阪府豊中市宮山町1-10-1,大阪府,豊中市,宮山町1,10-1,,34.80747,135.464288,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000093,大阪府豊中市,木造漆箔阿弥陀如来坐像,モクゾウシッパクアミダニョライザゾウ,,,豊中市指定有形文化財,美術工芸品,,272035,,大阪府豊中市蛍池東町1-13-12,大阪府,豊中市,蛍池東町1,13-12,,34.792743,135.451648,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000094,大阪府豊中市,梵鐘,ボンショウ,,,豊中市指定有形文化財,美術工芸品,,272035,,大阪府豊中市熊野町4-8-1,大阪府,豊中市,熊野町4,8-1,,34.789964,135.478695,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000095,大阪府豊中市,内田村中川家文書,ウチダムラナカガワケモンジョ,,,豊中市指定有形文化財,その他,,272035,,大阪府豊中市桜の町6,大阪府,豊中市,桜の町6,,,,,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000096,大阪府豊中市,南刀根山村浅井家文書,ミナミトネヤマムラアサイケモンジョ,,,豊中市指定有形文化財,その他,,272035,,大阪府豊中市刀根山元町5,大阪府,豊中市,刀根山元町,5,,,,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000097,大阪府豊中市,原田村野口家文書,ハラダムラノグチケモンジョ,,,豊中市指定有形文化財,その他,,272035,,大阪府豊中市服部豊町1,大阪府,豊中市,服部豊町1,,,,,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000098,大阪府豊中市,洲到止村中井家文書,スドウシムラナカイケモンジョ,,,豊中市指定有形文化財,その他,,272035,,大阪府豊中市大島町1,大阪府,豊中市,大島町1,,,,,,,,,,,,,,,,,32021,,,,,,,,,,,,
272035,0000000099,大阪府豊中市,長興寺村文書付大伊勢講文書,チョウコウジムラモンジョツキオオイセコウモンジョ,,,豊中市指定有形文化財,その他,,272035,,大阪府豊中市中桜塚3-1-1,大阪府,豊中市,中桜塚3,1-1,,34.781291,135.469715,,,,,,,,,,,,,32021,,,,,,,,,,,,
