時点,年齢（歳）,男（人）,女（人）
2023/8/1,72,2093,2291
2023/8/1,73,2007,2470
2023/8/1,74,2219,2585
2023/8/1,75,2078,2387
2023/8/1,76,1746,2284
2023/8/1,77,894,1307
2023/8/1,78,1129,1569
2023/8/1,79,1247,1756
2023/8/1,80,1153,1691
2023/8/1,81,1170,1599
2023/8/1,82,1106,1641
2023/8/1,83,913,1498
2023/8/1,84,738,1274
2023/8/1,85,773,1309
2023/8/1,86,650,1314
2023/8/1,87,584,1219
2023/8/1,88,538,1177
2023/8/1,89,424,975
2023/8/1,90,373,922
2023/8/1,91,283,806
2023/8/1,92,192,631
2023/8/1,93,167,540
2023/8/1,94,121,453
2023/8/1,95,88,351
2023/8/1,96,73,264
2023/8/1,97,42,225
2023/8/1,98,30,138
2023/8/1,99,16,99
2023/8/1,100,8,74
2023/8/1,101,4,55
2023/8/1,102,1,38
2023/8/1,103,0,22
2023/8/1,104,0,6
2023/8/1,105,0,4
2023/8/1,106,0,4
2023/8/1,107,0,4
2023/8/1,108,0,0
2023/8/1,109,0,0
2023/8/1,110,0,0
2023/8/1,111,0,0
2023/8/1,112,0,0
2023/8/1,113,0,0
2023/8/1,114,0,0
2023/8/1,115,0,0
2023/8/1,116,0,0
2023/8/1,117,0,0
